sorszam,kepzo_nev,kepzo_azonosito,AM_2023.4.,AM_2024.1.,A1A2Asum_2023.4.,A1A2Asum_2024.1.,B_2023.4.,B_2024.1.,C_2023.4.,C_2024.1.
1,0-24 AUTÓSISKOLA,8392,-,-,"122,98%",-,"159,43%","166,48%",X,X
2,18 MK Kft.,0674,X,X,X,X,"166,50%","168,77%",X,X
3,2-4 Kerék Autósiskola,9948,-,X,"151,44%",-,"206,73%","198,85%",X,X
4,"24-es számú Kft., 24-es Autósiskola",0145,X,X,X,X,"172,77%","170,69%",X,X
5,4 Kerék Autósiskola,6602,X,X,X,X,"193,10%",-,X,X
6,4-S Autósiskola,0190,X,X,X,X,"109,90%","111,36%",X,-
7,4x4 Schreiner Autósiskola,8163,-,X,-,X,-,-,X,X
8,6Pedál Next Kft.,4210,X,X,X,X,-,-,"121,25%","112,50%"
9,A Helyi Táltos Autósiskola,4093,X,X,-,X,-,-,X,X
10,ABC Autós-Motoros Iskola,0003,-,X,-,X,"157,43%","145,08%",X,X
11,Abonyi Autósiskola,4148,X,X,X,X,-,-,X,X
12,Abonyi Autósiskola2,4345,X,X,X,X,-,-,X,X
13,ABS-II. Autósiskola Kft.,0031,X,X,X,X,"106,67%","105,52%","100,00%","113,54%"
14,Áchim Autósiskola,8727,-,X,"160,29%",-,"172,15%","189,66%",X,X
15,ÁCHIM ZOLTÁN AUTÓSISKOLA,8212,X,X,-,X,-,X,X,X
16,ÁDÁM Autósiskola,3598,X,X,X,X,-,-,X,X
17,Ádám Autósiskola,4424,X,X,X,X,-,-,X,X
18,AGGOD-Autósiskola,5205,X,X,X,X,-,-,X,X
19,Ági Autósiskola,1214,X,X,X,X,-,-,X,X
20,Alba Regia Autósiskola,4212,X,X,X,X,-,-,X,X
21,ALBA-SZÖV Kft.,3341,X,X,X,X,X,X,X,X
22,Alfa Autósiskola,3657,X,X,X,X,"172,05%","169,59%",X,X
23,Alfa Autósiskola Kft.,3430,X,X,X,X,"150,34%",-,X,X
24,"Alfa Autósiskola, Inhof Ferenc",3846,X,X,X,X,"161,44%",-,X,X
25,Áncsán Autósiskola,4310,X,X,X,X,-,-,X,X
26,Andó Autósiskola,4304,X,X,X,X,"183,52%","175,25%",X,X
27,Andorkó Autósiskola,3434,-,X,-,X,"143,10%","202,87%","153,75%","156,25%"
28,Andrássy 2 Motoros és Autósiskola,3944,X,X,X,X,-,-,X,X
29,Andrássy Autósiskola,4008,-,X,-,X,-,-,"102,08%","121,88%"
30,Andrássy és Társa Kft.,3204,X,X,X,X,"131,53%",-,X,X
31,Angeli Autósiskola Kft.,4223,X,X,X,X,X,-,X,X
32,ANGYAL ZSOLT AUTÓSISKOLA,6505,X,X,-,X,-,-,"178,75%","103,13%"
33,Antal-Ka Kft.,0650,X,X,X,X,-,-,X,X
34,Apró Autósiskola,4409,X,X,X,X,X,-,X,X
35,Aranyosi Autósiskola,3558,X,X,X,X,-,-,X,X
36,ARTUMNET Kft. Autósiskola,6912,X,X,X,X,-,X,X,X
37,ArTúra Autós-Motoros Iskola Kft.,0497,X,X,X,X,X,X,X,X
38,Árvai & Gery Autósiskola,4009,X,X,X,X,"158,62%","164,66%",X,X
39,ASTRA Autósiskola,3659,X,X,-,X,"158,62%","147,89%","134,38%",-
40,ASTRA-TÓTH Autósiskola,9762,-,X,-,X,"161,72%",-,X,X
41,Ász Autósiskola,3643,X,X,X,X,-,-,X,X
42,ASZUCAR Autósiskola,8911,-,X,-,X,"226,44%","203,16%",X,X
43,Atád Autós Motoros Iskola,3626,-,X,-,X,"146,78%","127,67%","181,25%","164,06%"
44,ATI Autósiskola Parasztiné,3589,X,X,X,X,X,X,X,X
45,ATI AUTÓSISKOLÁJA,4218,X,X,X,X,-,-,X,X
46,ATI Kft Győr,3378,-,X,-,X,"150,69%","155,07%","118,75%","107,14%"
47,ATI Kft. Székesfehérvár,3340,X,X,X,X,-,-,X,X
48,ATI Mosonmagyaróvár Autósiskola,9211,X,X,X,X,X,-,X,X
49,ATI Pécs Kft.,7923,X,X,-,X,"188,31%","187,24%",-,-
50,ATI Veszprém Kft.,3799,-,X,-,-,"146,05%","139,86%","167,61%","145,14%"
51,ATI-CSÁSZÁRNÉ Autósiskola Zrt.,9943,"166,92%",X,-,X,"226,20%","196,73%","141,67%","175,00%"
52,ATI-Császárné Kft.,3291,X,X,X,X,X,X,"150,00%",X
53,ATI-GKT Kft.,0107,X,X,-,-,"191,77%","199,36%",X,X
54,"ATILOS Autósiskola, JOGSICENTRUM",0512,X,X,X,X,"173,41%","184,55%",X,X
55,ATI-NOVA Kft.,3116,-,X,-,X,"165,52%","165,52%",X,X
56,ATI-OKTATÓ Kft.,0652,X,X,X,X,-,"197,49%",X,X
57,ATI-SZARVAS Autósiskola,5109,X,X,X,X,"175,86%",-,X,X
58,Atom Autósiskola,3875,X,X,-,X,"123,24%","108,05%",-,X
59,AURUM Kft.,3838,X,X,X,X,"132,29%",-,X,X
60,AUTÓ 60 Bt,3489,X,X,-,X,"121,38%","155,42%",X,X
61,AUTOBOX AUTÓSISKOLA,7105,X,X,X,X,"142,12%","143,89%","110,42%",-
62,Autó-Fix Autós-Motoros Magániskola,3223,X,X,X,X,"112,73%",-,X,X
63,Autó-Mobil 06 Kft. Autósiskola,3833,X,X,X,X,-,-,"100,00%","102,50%"
64,Automobil-2003,3426,X,X,X,X,"166,84%",-,X,X
65,AUTOMOTIVE Bt.,3273,X,X,X,X,-,-,X,X
66,AUTO-MOTORIST 2 Bt. Autósiskola,7943,X,X,X,X,"147,24%",-,X,X
67,auto-motorjogsi,4169,-,X,"109,95%",-,-,-,X,X
68,AUTÓPLAY ATI Kft.,8702,-,X,-,X,"112,69%","117,78%","100,00%","100,00%"
69,AUTÓ-PLUSZ Driver Kft.,0109,X,X,-,X,-,-,X,X
70,Autóstréning Bt,3181,-,X,X,X,"168,62%","150,25%",X,X
71,Autó-Suli 2 Autósiskola,4195,X,X,X,X,-,X,X,X
