1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
"""ÁSZ"" Autósiskola Kft.",3643,"7285 Törökkoppá ny, Kossuth Lajos utca 46.",Molnár Károly,12020,,x/elm .,,x/el m.,x,x/elm.,,,x/elm .,x/elm.,,,x/el m.,,x,x/elm,,,,,,,,,,,,,,,,,,,,,,,
"""AXIÁL"" Javító, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság ""AXIÁL Akadémia""",4294,"6500 Baja, Szegedi út 147.",Polyák Tamás,12297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
"""KELET- SPRINT"" Kereskedelmi Szolgáltató Oktatói Kft.",3915,"4400 Nyíregyház a, Zimony u. 8.",Nagy Tibor,11008,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MiliAmper"" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",4431,"1036 Budapest, Bécsi út 85. fszt. 5.",Katona Ágnes,10693,,,,,x/gya k.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""OKTATÁSI CENTRUM ÁTKÉPZŐ"" Kft.",4248,"6500 Baja, Szent Antal utca 23/b",Lógó János,11637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
"""P.Oktatási Központ"" Második Esély Iskolája Kereskedelmi, Szervező és Szolgáltató Betéti Társaság „P.OK” MEI",4235,"7621 Pécs, Rákóczi út 55.",Balogh Károly,12311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
1. sz. Ózdi Gépjárművezető -képző Kft.,3206,"3600 Ózd, Egyházvölg y u. 31.",Miksztai Zoltán,10938,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. sz. SZTÁR Autósiskola Kkt.,3688,"4600 Kisvárda, Flórián tér 20.",Tarsoly Barna Zoltán,11408,x,x,x,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
18 MK Szolgáltató Kft.,674,"1156 Budapest, Páskomlige t u. 71.",Mészáros Sándor László,10930,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-4 KERÉK Kft.,9948,"6723 Szeged, Csörlő u. 2/C",Fekete Csaba Zoltán,11624,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
