sorszam,kepzo_nev,kepzo_azonosito,AM_elm_2023.4.,AM_elm_2024.1.,AM_forg_2023.4.,AM_forg_2024.1.,A1A2Asum_elm_2023.4.,A1A2Asum_elm_2024.1.,A1A2Asum_forg_2023.4.,A1A2Asum_forg_2024.1.,B_elm_2023.4.,B_elm_2024.1.,B_forg_2023.4.,B_forg_2024.1.,C_elm_2023.4.,C_elm_2024.1.,C_forg_2023.4.,C_forg_2024.1.
1,0-24 AUTÓSISKOLA,8392,"50,00%","0,00%","83,33%",-,"87,50%","100,00%","66,67%",-,"58,25%","42,15%","42,08%","41,80%","73,91%","73,33%",X,X
2,18 MK Kft.,0674,X,X,X,X,X,X,X,X,"54,29%","32,20%","53,97%","37,93%",X,X,X,X
3,1ST3 Autósiskola,4022,X,X,X,X,X,X,X,X,X,X,"37,04%","60,00%",X,X,X,X
4,2-4 Kerék Autósiskola,9948,"46,67%","58,33%",-,X,"93,33%","88,24%","75,00%",-,"73,17%","53,19%","44,44%","40,43%",X,X,X,X
5,"24-es számú Kft., 24-es Autósiskola",0145,X,X,X,X,X,X,X,X,"76,00%","45,10%","51,39%","43,33%",X,X,X,X
6,4 Kerék Autósiskola,6602,X,X,X,X,X,X,X,X,"73,68%","56,52%","35,29%","36,00%",X,X,X,X
7,4-S Autósiskola,0190,X,X,X,X,X,X,X,X,"67,86%","54,55%","74,60%","72,73%",-,-,-,-
8,4x4 Schreiner Autósiskola,8163,X,X,-,X,-,-,"100,00%",X,"63,16%","53,85%","53,85%","36,84%",X,X,X,X
9,6Pedál Next Kft.,4210,X,X,X,X,X,X,X,X,"33,33%","54,05%","42,31%","41,18%","66,67%","100,00%",-,"69,57%"
10,A Helyi Táltos Autósiskola,4093,X,-,X,X,-,X,-,X,-,-,"23,08%",-,X,X,X,X
11,ABC Autós-Motoros Iskola,0003,-,-,-,X,"70,00%",-,"100,00%",X,"57,14%","60,61%","50,41%","45,13%",X,X,X,X
12,ABC Jogsi Autósiskola,4241,X,X,X,X,X,X,-,X,X,X,-,-,X,X,X,X
13,Abonyi Autósiskola,4148,X,X,X,X,X,X,X,X,X,X,"50,00%","20,00%",-,X,X,X
14,Abonyi Autósiskola2,4345,X,X,X,X,X,X,X,X,"57,14%","25,00%","37,50%","52,94%",X,X,X,X
15,ABS-II. Autósiskola Kft.,0031,-,X,X,X,-,X,X,X,"45,00%","58,14%","86,36%","76,47%","69,44%","50,00%",-,-
16,Áchim Autósiskola,8727,"80,00%",-,"92,86%",X,"76,00%","89,47%","77,55%",-,"65,77%","67,02%","53,61%","54,62%",X,X,X,X
17,ÁCHIM ZOLTÁN AUTÓSISKOLA,8212,-,X,X,X,-,-,-,X,-,-,-,-,X,X,X,X
18,"""Ádám Autósiskola""",4424,X,-,X,X,-,-,X,X,"48,84%","32,14%","80,00%","75,00%",X,X,X,X
19,ÁDÁM Autósiskola,3598,-,-,X,X,X,X,X,X,-,X,-,-,X,X,X,X
20,Ádám Mihály EV.,4117,X,X,X,X,X,X,X,X,X,X,-,"35,29%",X,X,X,X
21,AGGOD-Autósiskola,5205,X,X,X,X,X,X,-,X,-,-,-,-,X,X,X,X
22,Ági Autósiskola,1214,X,X,X,X,X,X,X,X,"66,67%","46,67%","90,91%","63,64%",X,X,X,X
23,Aktív Autósiskola,4160,X,X,X,X,X,X,X,X,X,-,-,-,X,X,X,X
24,Alba Regia Autósiskola,4212,X,X,X,X,X,X,X,X,-,"42,86%","44,00%",-,X,X,X,X
25,ALBA-SZÖV Kft.,3341,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
26,Alfa Autósiskola,3657,X,X,X,X,-,X,X,X,"41,38%","43,33%","40,91%","36,36%",X,X,X,X
27,Alfa Autósiskola Győr,4307,X,X,X,X,X,X,X,X,X,X,"60,00%","36,84%",X,X,X,X
28,Alfa Autósiskola Kft.,3430,X,X,X,X,X,X,X,X,"76,19%","46,67%","37,50%","32,14%",X,X,X,X
29,"Alfa Autósiskola, Inhof Ferenc",3846,-,X,X,X,-,-,X,X,-,"60,00%","57,14%","41,18%",X,X,X,X
30,Áncsán Autósiskola,4310,X,X,X,X,X,X,X,X,-,-,"43,75%","42,86%",X,X,X,X
31,ÁNCSÁN BT. Autósiskola,3687,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
32,Andó Autósiskola,4304,X,X,X,X,X,X,X,X,"44,74%","55,17%","58,97%","62,86%",X,X,X,X
33,Andorkó Autósiskola,3434,X,-,-,X,-,-,-,X,"42,31%","47,92%","60,61%","50,00%","58,82%","78,26%","64,29%",-
34,András Károly gyakorlati képző szerv,3989,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
35,Andrássy 2 Motoros és Autósiskola,3944,X,X,X,X,X,X,X,X,"76,92%","62,50%","26,92%","28,57%",X,X,X,X
36,Andrássy Autósiskola,4008,-,-,-,X,-,-,-,X,-,-,-,-,"61,54%",-,-,-
37,Andrássy és Társa Kft.,3204,X,X,X,X,X,X,X,X,"48,39%","50,00%","45,16%","25,81%",X,X,X,X
38,Angeli Autósiskola Kft.,4223,X,X,X,X,X,X,X,X,X,X,"64,29%",-,X,X,X,X
39,ANGYAL ZSOLT AUTÓSISKOLA,6505,X,-,X,X,-,-,-,X,"63,16%","40,00%","46,15%","72,73%","65,00%","75,00%",-,"90,91%"
40,Antal-Ka Kft.,0650,X,X,X,X,X,X,X,X,-,-,"80,00%",-,X,X,X,X
41,Apró Autósiskola,4409,X,X,X,X,X,X,X,X,-,"40,00%",-,"30,00%",X,X,X,X
42,Aranyosi Autósiskola,3558,X,X,X,X,X,X,X,X,"42,86%","48,39%","31,58%","38,46%",X,X,X,X
43,Árendás Gábor ev,4017,X,X,X,X,X,X,X,X,X,X,"38,46%","44,44%",X,X,X,X
44,ARTUMNET Kft. Autósiskola,6912,X,X,X,X,X,X,X,X,-,-,-,-,-,-,X,X
45,ArTúra Autós-Motoros Iskola Kft.,0497,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
46,Árvai & Gery Autósiskola,4009,X,-,X,X,-,X,X,X,"54,55%","39,39%","32,32%","30,59%","36,36%","50,00%",X,X
47,ASTRA Autósiskola,3659,X,X,X,X,-,-,-,X,"64,86%","48,48%","37,33%","32,39%",-,X,-,-
48,ASTRA-OROSHÁZA Autósiskola,4373,X,X,X,X,X,X,X,X,X,X,"64,29%","73,33%",X,X,X,X
49,ASTRA-PLUSZ Autósiskola,4073,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
50,ASTRA-TÓTH Autósiskola,9762,X,X,-,X,-,-,-,X,"63,89%","49,21%","50,00%","69,23%",X,X,X,X
51,Ász Autósiskola,3643,X,X,X,X,-,X,X,X,"52,94%","35,29%","54,76%","49,15%",X,X,X,X
52,ASZUCAR Autósiskola,8911,-,-,-,X,-,-,-,X,"38,98%","33,87%","22,64%","26,92%",X,X,X,X
53,Atád Autós Motoros Iskola,3626,-,-,-,X,-,"100,00%","83,33%",-,"47,71%","41,32%","47,20%","53,47%","63,64%","65,00%",-,-
54,ATI Autósiskola Parasztiné,3589,X,X,X,X,X,X,X,X,-,-,-,-,X,X,X,X
55,ATI AUTÓSISKOLÁJA,4218,X,X,X,X,X,X,X,X,X,X,"41,67%","50,00%",X,X,X,X
56,ATI Kft Győr,3378,-,-,-,X,"75,00%","84,62%","72,73%",X,"58,62%","67,21%","37,21%","39,58%","62,50%","82,35%",-,-
57,ATI Kft. Székesfehérvár,3340,X,X,X,X,X,X,X,X,"50,00%",-,"52,94%","11,54%",X,X,X,X
58,ATI Mosonmagyaróvár Autósiskola,9211,X,X,X,X,-,X,X,X,-,-,-,-,X,X,X,X
59,ATI Pécs Kft.,7923,X,X,X,X,-,-,-,X,"37,04%","42,42%","51,02%","26,53%","72,73%","80,00%",-,-
60,ATI Veszprém Kft.,3799,-,"30,00%",-,X,"83,33%","85,19%","90,00%",-,"53,08%","57,02%","68,04%","59,38%","82,35%","66,00%","93,33%","95,45%"
61,ATIbi Autósiskola,3964,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
62,ATI-CSÁSZÁRNÉ Autósiskola Zrt.,9943,X,-,"76,47%",X,"80,00%",-,"30,77%",X,"51,00%","48,04%","28,87%","29,18%","88,24%","66,07%","63,64%","33,33%"
63,ATI-Császárné Kft.,3291,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,X
64,ATI-GKT Kft.,0107,X,X,X,X,-,-,"100,00%",-,"68,66%","59,32%","39,62%","35,04%",X,X,X,X
65,"ATILOS Autósiskola, JOGSICENTRUM",0512,X,X,X,X,X,X,X,X,"63,38%","63,49%","35,14%","36,56%",X,X,X,X
66,ATI-NOVA Kft.,3116,-,-,-,X,-,-,-,X,"42,86%","42,55%","48,78%","58,14%",X,X,X,X
67,ATI-OKTATÓ Kft.,0652,X,X,X,X,-,X,X,X,"81,25%","90,91%","35,48%","41,94%",X,X,X,X
68,ATI-SZARVAS Autósiskola,5109,X,X,X,X,X,X,X,X,"7,69%","22,22%","41,67%","40,00%",X,X,X,X
69,Atom Autósiskola,3875,-,-,X,X,-,-,-,X,"80,00%","59,52%","79,25%","72,00%",-,X,-,X
70,ATOM-FP Autósiskola,4019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
71,ATOM-GI Autósiskola,4053,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
72,AURUM Kft.,3838,X,X,X,X,X,X,X,X,"66,67%","34,29%","84,62%","84,62%",X,X,X,X
73,AUTÓ 60 Bt,3489,X,-,X,X,-,-,-,X,"45,65%","43,59%","44,68%","41,86%",X,X,X,X
74,AUTOBOX AUTÓSISKOLA,7105,-,X,X,X,-,-,-,X,"51,16%","46,43%","37,78%","41,67%","80,00%","57,89%",-,-
75,Autó-Fix Autós-Motoros Magániskola,3223,X,X,X,X,X,X,X,X,"32,14%",-,"48,28%","68,75%",X,X,X,X
76,Autó-Mobil 06 Kft. Autósiskola,3833,-,-,X,X,X,-,X,X,"77,27%","58,33%","76,92%",-,"75,00%","71,43%","91,67%",-
77,Automobil-2003,3426,X,X,X,X,X,X,X,X,"66,67%","41,67%","50,00%","55,56%",X,X,X,X
78,AUTOMOTIVE Bt.,3273,X,X,X,X,X,X,X,X,-,-,"38,46%",-,-,-,X,X
79,AUTO-MOTORIST 2 Bt. Autósiskola,7943,X,X,X,X,X,X,X,X,"75,00%","37,04%","68,75%","90,00%",X,X,X,X
80,auto-motorjogsi,4169,-,-,-,X,"92,86%","94,12%","96,67%",-,"45,45%","27,78%",-,"68,18%",X,X,X,X
81,AUTÓPLAY ATI Kft.,8702,-,-,-,X,-,-,"83,33%",X,"60,44%","44,04%","70,00%","70,83%","81,48%","57,14%",-,-
82,AUTÓ-PLUSZ Driver Kft.,0109,X,X,X,X,X,X,-,X,"46,15%","44,00%","50,00%","42,86%",X,X,X,X
83,Autóstréning Bt,3181,-,-,-,X,-,-,X,X,"54,55%","52,38%","50,00%","47,62%",-,-,X,X
84,Autó-Suli 2 Autósiskola,4195,X,X,X,X,X,X,X,X,X,-,-,X,X,X,X,X
85,AUTÓ-SULI Autósiskola,5435,X,X,X,X,X,X,X,X,"38,46%",-,-,-,X,X,X,X
86,Autósuli Szabados Péter,3877,X,X,X,X,X,X,X,X,"50,49%","51,61%","61,36%","51,28%","79,31%",-,-,-
87,Autótempó 95' Bt. Autósiskola,3584,-,X,X,X,X,X,X,X,"34,62%","33,33%","41,18%","43,75%",-,X,X,X
88,AuTÓTh Kfc.,3351,X,-,X,X,X,-,X,X,"71,43%","50,00%","37,31%","42,11%",X,X,X,X
89,Autozone Autósiskola Kft.,8802,X,X,X,X,X,X,X,X,"80,00%",-,-,-,X,X,X,X
90,AvAnti Car Kft.,8742,-,X,X,X,-,-,-,X,"65,65%","50,91%","63,16%","58,56%",X,X,X,X
91,AVAS Bt. Autósiskola,3221,-,X,-,X,-,-,X,X,"35,71%","60,53%","24,19%","33,33%","61,11%","84,62%","70,00%","66,67%"
92,Az Én Oktatóm Autósiskola,4322,X,X,X,X,-,X,X,X,"53,57%","68,42%","63,16%",-,-,X,X,X
93,Babi Autósiskola,3336,X,X,X,X,X,X,X,X,"38,46%","33,33%","36,11%","25,71%",X,X,X,X
94,Bachusz Autósiskola,0673,X,X,X,X,-,X,-,X,-,-,X,X,X,X,X,X
95,Bácska Autósiskola Kft.,3143,X,X,X,X,X,X,X,X,"54,55%","42,86%","33,33%","36,36%",X,X,X,X
96,Bács-Szakma Non-profit Közhasznú Zrt.,7003,X,X,X,X,X,X,-,X,X,X,X,X,X,X,X,-
97,BAGBAND Autósiskola,4276,X,-,X,X,-,-,X,X,"42,86%","51,92%",X,X,X,X,X,X
98,Bag-Band Bt. Autósiskola,0655,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
99,Bajai László Autósiskola,3916,-,-,X,X,X,-,X,X,"62,07%","50,00%","56,04%","57,65%",X,X,X,X
100,Bajáki Attila Mátyás,3145,-,"30,00%",X,X,-,-,-,X,"50,45%","45,70%","38,67%","35,29%",X,-,X,X
101,Baka Károly Erik Autósiskola,4268,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
102,BAKSAI Autósiskola,9966,X,X,X,X,X,X,X,X,"58,82%","57,14%","50,00%","36,36%",X,X,X,X
103,Bak-Ta Autósiskola,4066,X,X,X,X,X,X,X,X,"58,33%","40,00%","68,75%","20,00%",X,X,X,X
104,Bal1 Autósiskola,3981,X,X,X,X,X,X,X,X,"69,70%","52,63%","56,67%","58,00%",X,X,X,X
105,Bal1 Plusz Autósiskola,4229,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
106,Balassagyarmati Központi Autósiskola,4156,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
107,Balaton,4416,X,X,X,X,X,X,X,X,"75,00%","56,00%","51,06%","44,07%",X,X,X,X
108,Balatonfüredi Autósiskola,4194,X,X,X,X,X,X,X,X,"29,41%","61,11%","58,33%",-,X,X,X,X
109,BALIKÓ AUTÓSISKOLA,6411,X,X,X,X,X,X,X,X,"57,41%","33,90%","41,67%","55,38%",X,X,X,X
110,Bálint László Autósiskola,0120,X,X,X,X,X,X,X,X,-,X,-,-,X,X,X,X
111,Balogh Nonstop Autósiskola,3416,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
112,Balogh Nonstop Autósiskola,4392,X,X,X,X,X,-,X,X,"38,89%","41,18%","30,77%","25,00%",X,X,X,X
113,BALOGH OKTATÓ Kft.,3252,X,X,X,X,X,X,X,X,X,-,-,-,"76,27%","58,23%","52,63%","63,16%"
114,Balogh Tibor Autósiskola,3905,-,X,X,X,-,X,X,X,"57,69%","53,85%","43,24%","39,29%",-,-,X,X
115,Balogh Zoltán gyakorlati képző szerv,3969,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
116,Bánfi Henriett ev.,4260,-,X,X,X,-,X,X,X,-,-,"30,77%","50,00%",X,X,X,X
117,Bánfi Martin Kevin ev.,4439,X,X,X,X,X,X,X,X,X,X,-,"23,08%",X,X,X,X
118,Bánki Bt.,0378,X,X,X,X,X,X,X,X,"42,22%","37,93%","91,30%","66,67%",X,X,X,X
119,Banya Autósiskola,4427,X,X,X,X,X,X,-,X,"68,75%","47,62%","60,71%","23,33%",X,X,X,X
120,Barabás Autósiskola,9990,X,X,X,X,X,X,X,X,"61,90%","54,05%","62,50%","54,55%",X,X,X,X
121,Barabás László magánoktató,3910,X,X,X,X,X,X,X,X,X,X,"47,83%","68,18%",X,X,X,X
122,Baracsi Autósiskola,4389,X,X,X,X,X,X,X,X,X,X,-,-,X,X,X,X
123,BARANYI Autósiskola,3495,X,X,X,X,X,X,X,X,-,-,-,-,X,X,X,X
124,Bárczi Gyula Autósiskola,3695,X,X,X,X,X,X,X,X,-,"41,18%","34,78%","31,82%",X,X,X,X
125,BÁRCZI Autósiskola,6508,-,X,X,X,X,-,-,X,"43,86%","48,15%","44,79%","50,00%",X,X,X,X
126,Bárczi2 Autós és Motoros Iskola,4159,X,X,X,X,X,X,X,X,X,X,-,-,X,X,X,X
127,Barcsa Autósiskola,3466,X,X,X,X,X,X,-,X,"35,71%","42,86%","23,68%","25,93%",X,X,X,X
128,Barcsa Autósiskola Kft.,4349,X,X,X,X,-,X,X,X,X,X,X,X,X,X,X,X
